ID;Focus area;Capability;Level;Question
127;9;C;7;Does the data protection officer have a dashboard that provides an up-to-date view of data access requests and responses?
128;9;D;9;Is user-driven control of personal data employed?
129;9;D;9;Are data subjects that do not consent to provide personal data offered equitable conditions?
130;9;D;9;Are consent items automatically updated in all affected processing systems whenever a change occurs?
131;10;A;1;Are privacy policies publicly available?
132;10;A;1;Are privacy policies written in clear and comprehensible language?
133;10;A;1;Do privacy policies contain contact information of the individuals responsible for privacy and security?
134;10;A;1;Are privacy policy revision meetings conducted?
135;10;A;1;Is feedback on the readability and content of the privacy policy analysed and incorporated?
136;10;A;1;Are historical versions of privacy policies archived and accessible?
137;10;B;2;Are policy communications routine?
138;10;B;2;Are policy communications semi-automated?
139;10;B;2;Is the general understanding of the privacy policy of individuals assessed and used to improve communication methods?
140;10;B;2;Are procedures implemented that uniformly and consistently obtain consent for additional processing activities in the collection phase?
141;10;C;5;Are privacy policies defined together with data subjects?
142;10;C;5;Are data subjects provided information about policies, procedures, and controls?
143;10;C;5;Are data subjects provided information through tools that allow them to determine how personal data is used?
144;10;C;5;Are data subjects provided information through tools that allow them to determine whether policies are being properly enforced?
145;10;D;7;Are summaries of PIAs published?
146;10;D;7;Are summaries of threat and risk assessments published?
147;10;D;7;Are the results of independent third-party audit results published?
148;11;A;2;Is a privacy risk assessment for third parties completed before any contract is granted where personal data is made available?
149;11;A;2;Are existing contracts with third parties that involve providing personal data reviewed?
150;11;B;4;Are there documented procedures to ensure that third parties have appropriate safeguards in place prior to transferring personal data?
151;11;B;4;Are the documented procedures for ensuring third parties have appropriate safeguards consistently applied?
152;11;B;4;Are new instances of personal data sharing with third parties assessed to determine authorisation, additional notice, and updates to existing agreements?
153;11;B;4;Are exception reports used to record inappropriate, unacceptable, or misuse activities by third parties?
154;11;B;4;Are exception reports used to monitor the status of remedial activities?
155;11;C;6;Is a privacy level agreement made as part of a service level agreement with third parties?
156;11;C;6;Are changes in a third party environment monitored to ensure the processor can continue to meet its obligations?
157;11;C;6;Is compliance with privacy policies relating to disclosure to third parties monitored by management?
158;12;A;1;Are stakeholders, roles, and responsibilities related to privacy activities identified and assigned?
159;12;B;2;Is the management of privacy-related roles and responsibilities formalised in a role/functionality matrix?
160;12;B;2;Is a chief privacy officer appointed?
161;12;C;3;Is the trust relationship between the stakeholders defined?
162;12;C;3;Are the data processing responsibilities assigned to the appropriate stakeholders including monitoring activities?
163;12;C;3;Is a technical privacy officer assigned to support operational privacy-by-design activities?
164;12;D;5;Is a central entity responsible for privacy related issues appointed (e.g., a privacy committee)?
165;13;A;1;Is the organisation aware of the basic principles of privacy-by-design?
166;13;A;1;Is management committed to applying the basic principles of privacy-by-design?
167;13;B;2;Are target groups involved with privacy-by-design identified?
168;13;B;2;Are target groups involved with privacy-by-design given training for raising awareness and transmitting knowledge relevant to their specialisation?
169;13;C;3;Are resources provided to support consistent implementation of privacy policies, procedures, and standards (e.g., manuals, guides, handbooks)?
170;13;D;5;Does the organisation participate in learning from and contributing to the available body of knowledge amassed by the privacy community?
171;13;D;5;Are staff and management comfortable identifying areas for improving privacy practices and discussing these freely and proactively?
172;14;A;4;Is an assurance process in place to support the checking and demonstration of compliance with regulation?
173;14;A;4;Does the assurance process include overseeing the execution of cybersecurity and privacy controls?
174;14;A;4;Do systems have functional audit logs and usage reports?
175;14;A;4;Do the functional audit logs and usage reports provide information without disclosing identity information?
176;14;B;5;Are events logged during all processing activities?
177;14;B;5;Are privacy-related key performance indicators used to periodically track, measure, and monitor the performance of the privacy function?
178;14;B;5;Is performance regularly reported to management?
179;14;B;5;Are performance metrics regularly reviewed?
180;14;C;6;Does management continuously monitor compliance with privacy policies, regulations, and procedures related to personal data processing?
181;14;C;6;Is the approach to privacy-by-design continually reviewed based on internal review?
182;14;C;6;Is the approach to privacy-by-design continually reviewed based on external developments in best practice?
183;14;D;7;Are periodic reviews and audits performed on processing activities to ensure personal information uses are appropriate and lawful?
184;14;E;8;Are systematic and independent audit examinations of logs, procedures, processes, and hardware and software specifications performed?
185;14;E;8;Are audit and log systems compliant with other privacy principles?
186;14;E;8;Do audit and log systems track user activity to identify illegal processing?
